id,province,year,Total Import and Export Value (in ten thousand US dollars),100 US dollars converted to Chinese Yuan,Total Import and Export Value (in ten thousand yuan,GDP,Foreign Direct Investment (in ten thousand US dollars),Number of Green Invention Patent Applications (pieces),Number of Green Utility Model Patent Applications (pieces),Number of Green Patent Applications (pieces),Number of Green Invention Patent Grants (pieces),Number of Green Utility Model Patent Grants (pieces),Number of Green Patent Grants (pieces),Number of Invention Patents Granted,"General Budget Expenditure/10,000 RMB","Education Expenditure/10,000 RMB","Science and Technology Expenditure/10,000 RMB","Total Number of Employed Persons (10,000 persons)",Value Added of the Tertiary Industry (100 million yuan),Consumption Tax (100 million yuan),Resource Tax (100 million yuan),Urban Maintenance and Construction Tax (100 million yuan),Urban Land Use Tax (100 million yuan),Vehicle and Vessel Usage Tax and License Tax (100 million yuan),Vehicle Purchase Tax (100 million yuan),Farmland Occupation Tax (100 million yuan),Pollution Discharge Fee/Environmental Protection Tax (100 million yuan),Tax revenue (in 100 million yuan),Total tax revenue considering pollution discharge fee (in 100 million yuan),Per capita GDP (in yuan),Comprehensive innovation level(TCC),Industrial sulfur dioxide emissions (in tons),Industrial wastewater discharge volume (in ten thousand tons),Industrial smoke and dust emissions (in ten thousand tons) (including PM2.5 emissions),Fixed asset investment (in 100 million yuan),Total energy consumption (in ten thousand tons of standard coal),Urban unit end-of-year employment (in ten thousand people)
1,Beijing,2004,9457573,827.68,78278440.2064,6060.28,308354,903,505,1408,506,377,883,9005,8982756,1213881,132556,854.1,2570.04,30.6413,0.2466,34.7203,3.2732,2.8544,0,1.8363,1.3908,1896.5465,1897.9373,42402,54.82,125000,12617,6.5,2528.21,5140,502.8
1,Beijing,2005,12550643,819.17,102811102.2631,6969.52,352638,1343,590,1933,618,440,1058,10100.0,10583114,1458723,157439,878,4761.81,34.7546,0.2855,38.8336,3.2986,3.1744,40.1423,0.7405,1.67265,2544.5467,2546.21935,47182,56.11,105000,12813,5.1,2827.2299,5522,505.6
1,Beijing,2006,15803663,797.18,125983640.7034,8117.78,455191,1601,835,2436,686,598,1284,11238.0,12968389,1751755,193238,919.7,5580.81,41.5449,0.3052,45.1704,4.0022,3.5137,46.5203,1.5204,1.249,3325.6633,3326.9123,53438,56.66,94000,10170,4.5,3296.38,5904,513.774
1,Beijing,2007,19299976,760.4,146757017.504,9846.81,506572,2197,972,3169,717,910,1627,14954.0,16495023,2630041,907420,942.7,6742.66,48.4823,0.3146,56.6323,14.6499,8.165,58.706,1.3045,0.80761,4322.8898,4323.69741,63629,50.05,83000,9134,4,3907.1999,6285,544.4
1,Beijing,2008,27169290,694.51,188693435.979,11115,608172,3316,1472,4788,867,1127,1994,17747.0,19592857,3162957,1121886,980.9,7682.07,52.0391,0.3624,63.947,15.4399,10.2317,73.9588,1.3541,0.41845,5296.4324,5296.85085,68541,52.2,57783,8367,3.5,3814.73,6327,570.3
1,Beijing,2009,21473305,683.1,146684146.455,12153.03,612094,3794,2130,5924,1257,1527,2784,22921.0,23193658,3656677,1263072,998.3,9179.19,117.9182,0.4171,71.2794,15.753,10.9906,80.3642,11.4108,0.33102075,6152.8916,6153.22262075,71059,53.19,59922,8713,3.6,4616.92,6570,619.3478
1,Beijing,2010,30172155,676.95,204250403.2725,14113.58,636358,4514,2413,6927,1356,2415,3771,33511.0,27173174,4502155,1789154,1031.6,10600.84,145.3475,0.3665,80.0033,16.1283,14.9217,128.2973,10.1853,0.310473,6229.7275,6230.037973,78307,47.92,57000,8198,3.8,5402.95,6954,646.6
1,Beijing,2011,38955598,645.88,251606416.3624,16251.93,705447,5827,2935,8762,2077,2975,5052,40888.0,32452300,5200800,1830700,1069.7,12363.18,163.2649,0.34,145.65,16.07,18.58,86.7849,11.57,0.28486,7737.9237,7738.20856,86246,50.31,61299,8633,2.9405,5578.93,6995,685.9018
1,Beijing,2012,40810732,631.25,257617745.75,17879.4,804160,7017,3692,10709,3044,2659,5703,50511.0,36853076,6286510,1999444,1107.3,13669.93,177.8957,0.8,160.34,16.26,22.29,114.9281,10.27,0.3103,9042.5483,9042.8586,92758,46.11,59330,9190,3.0844,6112.3699,7178,717.3717
1,Beijing,2013,42899581,619.32,265685685.0492,19800.81,852418,9612,5550,15162,3606,5236,8842,62671.0,41736563,6811775,2346742,1141,14986.43,201.9165,0.82,177.41,16.34,25.82,119.8731,9,0.3146,10366.215,10366.5296,100569,50.73,52041,9486,2.7182,6847.0571,6724,742.2565
